Acetylides of heavy metals,80
aerial shell,30
aluminum,1
Aluminum containing polymeric propellant,50
Aluminum ophorite explosive,80
Amatex,90
Amatol,90
Ammonal,90
ammonia,90
ammonium nitrate,100
Ammonium nitrate explosive mixtures,100
Ammonium perchlorate explosive mixtures,100
Ammonium perchlorate having particle size less than 15 microns,100
Ammonium picrate,100
Ammonium salt lattice with isomorphously substituted inorganic salts,100
ANFO,100
Aromatic nitro-compound explosive mixtures,100
articles pyrotechnic,100
ATF,5
ATFE,5
Azide explosives,30
bang,1
Baranol,60
Baratol,60
BATFE,30
2-difluoro,30
nitroacetoxyethane,100
Black powder,20
black powder bomb,50
Blasting agents,70
nitro-carbo-nitrates,70
Blasting caps,60
Blasting gelatin,60
Blasting powder,60
blow up,1
bomb,1
boom,1
booster,1
BTNEC,60
BTNEN,60
BTTN,60
trinitroethyl,60
nitramine,60
trinitrate,60
Bulk salutes,10
Bureau of ATF,5
butane bomb,20
Butyl tetryl,25
c-4,25
cake,1
Calcium nitrate explosive mixture,70
cap sensitive ,60
Cellulose hexanitrate explosive mixture,70
charge,1
Chlorate explosive mixtures,70
Class B,5
Class C,5
Composition A and variations,20
Composition B and variations,20
Composition C and variations,20
Copper acetylide,60
cord,1
Cyanuric triazide,70
Cyclonite,70
Cyclotetramethylenetetranitramine,60
Cyclotol,50
Cyclotrimethylenetrinitramine,70
diaminotrinitrobenzene,80
diazodinitrophenol,80
diethyleneglycol dinitrate,80
depth charge,5
det cord,10
Detonating cord,30
detonator,10
dets,10
diesel   ,1
diesel fuel,1
Dimethylol dimethyl methane dinitrate composition,100
Dinitroethyleneurea,100
glycerol dinitrate,100
Dinitroglycerine,100
Dinitrophenol,100
Dinitrophenolates,100
Dinitrophenyl hydrazine,100
Dinitroresorcinol,100
Dinitrotoluene-sodium nitrate explosive mixtures,100
diaminohexanitrobiphenyl,100
dipicramide,100
DIPAM,100
Dipicryl sulfone,100
Dipicrylamine,100
Display fireworks,1
dinitropropyl acrylate,100
DNPA,30
dinitropentano nitrile,60
DNPD,30
Dynamite,20
EDDN,20
ethylene diamine dinitrate,80
ethylenedinitramine,80
EDNA,20
Ednatol,50
dinitropentanoate,70
EDNP,30
EGDN,20
ethylene glycol dinitrate,80
Emulsion,1
Erythritol tetranitrate explosives,100
Esters of nitro-substituted alcohols,100
Ethyl-tetryl,80
EX Number,1
explosive,1
Explosive conitrates,10
Explosive gelatins,40
Explosive liquids,30
oxygenreleasing,40
nitromethane,50
tetranitromethane,50
aromatic hydrocarbons,50
Explosive organic nitrate mixtures,90
Explosive powders,20
Federal Explosives Licensee,1
Federal Explosives Permit,1
FEL,10
FEP,10
fertilizer,20
firework,10
Flash powder,40
flash powder bomb,40
fuel  ,5
fuel air mixture bomb,90
Fulminate of mercury,100
Fulminate of silver,100
Fulminating gold,100
Fulminating mercury,100
Fulminating platinum,100
Fulminating silver,100
fuse,10
Gelatinized nitrocellulose,100
Gem-dinitro aliphatic explosive mixtures,100
grenade,20
Guanyl nitrosamino guanyl tetrazene,100
Guanyl nitrosamino guanylidene hydrazine,90
Guncotton,90
Heavy metal azides,70
helix,1
Hexanite,20
Hexanitrodiphenylamine,60
Hexanitrostilbene,60
Hexogen,30
Hexogene or octogene and a nitrated Nmethylaniline,30
Hexolites,40
high explosive,20
HME ,20
hexamethylenetriperoxidediamine,60
HMTD,20
HMX,20
tetramethylene,60
tetranitramine,60
Octogen,60
homemade bomb,30
homemade explosive,30
aluminum explosive system,70
hydrazine,70
Hydrazinium nitrate,70
Hydrazoic acid,40
Hydrogen peroxide,40
igniter,30
Igniter cord,30
Igniters,30
incendiary,1
Initiating tube systems,60
instant mix,60
potassium dinitrobenzo-furoxane,50
KDNBF,20
land mine,2
Lead azide,5
Lead mannite,10
Lead mononitroresorcinate,60
Lead picrate,60
Lead salts,60
lead trinitroresorcinate,50
styphnate of lead,50
Lead styphnate,60
trimethylolethane,50
Liquid nitrated polyol,50
Liquid oxygen explosives,50
low explosive,50
M/S,10
M-80,20
Magnesium ophorite explosives,80
Mannitol hexanitrate,70
mass destruction,2
mass detonate,2
mass detonation,2
mass explosion,2
mass explosive,2
dinitropentanoate,50
MDNP,5
monoethanolamine nitrate,10
Mercuric fulminate,80
Mercury oxalate,80
Mercury tartrate,80
methane,1
Metriol trinitrate,80
millisecond,5
Minol,1
methylamine nitrate,60
MMAN,30
monomethylamine nitrate,60
molotov   ,40
molotov cocktail,20
Mononitrotoluene-nitroglycerin mixture,30
Monopropellants,60
nitroisobutametriol trinitrate,70
NIBTN,50
Nitrate explosive mixtures,80
Nitrate sensitized with gelled nitroparaffin,80
Nitrated carbohydrate explosive,80
Nitrated glucoside explosive,80
Nitrated polyhydric alcohol explosives,80
Nitric acid and a nitro aromatic compound explosive,80
Nitric acid and carboxylic fuel explosive,80
Nitric acid explosive mixtures,80
nitro,10
Nitro aromatic explosive mixtures,80
Nitro compounds of furane explosive mixtures,80
Nitrocellulose explosive,80
Nitroderivative of urea explosive mixture,80
Nitrogelatin explosive,80
Nitrogen trichloride,80
Nitrogen tri-iodide,80
trinitroglycerine,60
glyceryl trinitrate,50
nitro,5
Nitroglycerine,60
Nitroglycide,60
Nitroglycol,60
ethylene glycol dinitrate,60
Nitroguanidine explosives,60
Nitronium perchlorate propellant mixtures,60
Nitroparaffins Explosive Grade and ammonium nitrate mixtures,60
Nitrostarch,50
Nitro-substituted carboxylic acids,50
Nitrourea,50
Octogen,50
Octol,20
oil perforator,1
Organic amine nitrates,30
Organic nitramines,40
oxidizer,30
plastic bonded explosives,70
PBX,20
Pellet powder,60
Penthrinite composition,60
Pentolite,60
Perchlorate explosive mixtures,60
Peroxide based explosive mixtures,50
PETN,50
Picramic acid and its salts,50
Picramide,50
Picrate explosives,50
Picrate of potassium explosive mixtures,50
Picratol,50
Picric acid,40
manufactured as an explosive,30
Picryl chloride,60
Picryl fluoride,60
pipe bomb,70
plastic explosive,60
PLX,50
ethylenediamine,60
nitromethane,60
Polynitro aliphatic compounds,50
Polyolpolynitrate-nitrocellulose explosive gels,50
Potassium chlorate and lead sulfocyanate explosive,40
Potassium nitrate explosive mixtures,40
Potassium nitroaminotetrazole,40
pounds,2
propane bomb,80
pyrotechnic   ,80
Pyrotechnic compositions,70
picrylamino,40
PYX,20
dinitropyridine,40
picrylamino,40
Quarter stick,20
RDX,30
cyclonite,60
Safety fuse,2
Salts of organic amino sulfonic acid explosive mixture,79
salute ,1
Salutes (bulk),2
shape charge,10
shell ,1
Silver acetylide,80
Silver azide,80
Silver fulminate,80
Silver oxalate explosive mixtures,80
Silver styphnate,80
Silver tartrate explosive mixtures,80
Silver tetrazene,80
Slurried explosive mixtures of water,80
Smokeless powder,50
Sodatol,40
Sodium amatol,50
Sodium azide explosive mixture,50
Sodium dinitro-ortho-cresolate,50
Sodium nitrate explosive mixtures,50
Sodium nitrate-potassium nitrate explosive mixture,50
Sodium picramate,50
Special fireworks,50
Squibs,50
Styphnic acid explosives,50
Tacot,100
tannerite,80
triaminotrinitrobenzene,90
TATB,80
triacetonetriperoxide,80
TATP,20
triethylene glycol dinitrate,70
TEGDN,50
Tetranitrocarbazole,60
Tetrazene,80
Tetrazole explosives,100
Tetryl,80
Tetrytol,80
thermobaric bomb,80
Thickened inorganic oxidizer salt slurried explosive mixture,100
TMETN,50
trimethylolethane trinitrate,100
TNEF,50
trinitroethyl formal,100
trinitroethylorthocarbonate,50
TNEOC,100
TNEOF,50
trinitroethylorthoformate,100
TNT,10
trinitrotoluene,60
trotyl,60
trilite,60
triton,60
Torpex,70
Tridite,70
Trimethylol ethyl methane trinitrate composition,70
Trimethylolthane trinitrate-nitrocellulose,70
Trimonite,70
Trinitroanisole,70
Trinitrobenzene,70
Trinitrobenzoic acid,70
Trinitrocresol,70
Trinitro-meta-cresol,70
Trinitronaphthalene,70
Trinitrophenetol,70
Trinitrophloroglucinol,70
Trinitroresorcinol,70
Tritonal,70
UN Number,10
Urea nitrate,50
Water-bearing explosives,20
Water-in-oil emulsion explosive compositions,80
